Časová pečiatka,Uveďte Váš vek:,Uveďte Vaše pohlavie:,1. Ako hodnotíte všeobecnú prehľadnosť slovensko.sk?,2. Ako hodnotíte dizajn a prehľadnosť slovensko.sk pri navštívení cez mobilný prehliadač?,3. Ako hodnotíte schránku dokumentov na slovensko.sk?,4. Aké sú Vaše dojmy z inštalácie potrebných programov pre používanie elektronického občianskeho preukazu?,5. Ak ste si vytvorili vlastný e-podpis bol pre Vás tento proces náročný?,6. Za akým účelom najčastejšie navštevujete slovensko.sk?,7. Ktorú z nasledujúcich elektronických služieb ste už využili?,8. Ako hodnotíte funkčnosť vybraných služieb?,9. Nakoľko sú Vaše skúsenosti s inými eGovernment portálmi ako slovensko.sk pozitívne? ,"10. Je pre Vás slovensko.sk pohodlnejšie, ako osobný styk na úradoch?"
17.4.2018 11:23:21,36,Žena,Málo prehľadné,Málo prehľadné,"Bežná služba, ničím výnimočné ale pracuje sa s ňou dobre","Jednoduchá inštalácia, avšak neprehľadné návody",Stredne náročný,Vyhľadávanie informácií,Prihlásenie na trvalý pobyt alebo na prechodný pobyt,Často ne fungujú,Neutrálne,Áno
17.4.2018 11:59:15,25,Muž,Málo prehľadné,Nepoužívam,Ťažko sa mi s ňou pracuje,Zložitá inštalácia a neprehľadné návody,Stredne náročný,Používanie služieb verejnej správy,"Žiadosť o prevod držby vozidla na inú osobu, Kopia sobasneho listu",Často ne fungujú,Neutrálne,Áno
17.4.2018 12:13:00,27,Muž,Málo prehľadné,Nepoužívam,Ťažko sa mi s ňou pracuje,"Jednoduchá inštalácia, avšak neprehľadné návody",Stredne náročný,"Pracovne, je to nevyhnutné kvôli mojej práci",Žiadne,Vždy fungujú,Neutrálne,Nie
17.4.2018 12:31:53,33,Muž,Málo prehľadné,Neprehľadné,Ťažko sa mi s ňou pracuje,Zložitá inštalácia a neprehľadné návody,Náročný,"Pracovne, je to nevyhnutné kvôli mojej práci","Návrh na zápis, zmenu a výmaz údajov v obchodnom registri, Danove priznanie",Často fungujú,Negatívne,Nie
17.4.2018 12:48:45,29,Muž,Neprehľadné,Neprehľadné,Ťažko sa mi s ňou pracuje,Zložitá inštalácia a neprehľadné návody,Náročný,Používanie služieb verejnej správy,"Ohlásenie živnosti, Žiadosť o výpis zo živnostenského registra, Vydanie nového občianskeho preukazu s čipom, Vydanie úradného výpisu matričného dokladu",Často ne fungujú,Negatívne,Áno
27.4.2018 20:55:53,22,Muž,Nepoužívam,Nepoužívam,Nepoužívam,Neinštaloval/a som,Nevytvoril,Nenavštevujem,Žiadne,Nepoužívam,Neutrálne,Nie
27.4.2018 20:57:27,23,Muž,Nepoužívam,Nepoužívam,Nepoužívam,Zložitá inštalácia a neprehľadné návody,Nevytvoril,Nenavštevujem,Žiadne,Nepoužívam,Negatívne,Áno
27.4.2018 21:01:38,26,Muž,Nepoužívam,Neprehľadné,Nepoužívam,Neinštaloval/a som,Nevytvoril,Nenavštevujem,Žiadne,Nepoužívam,Veľmi negatívne,Nie
27.4.2018 21:06:34,23,Žena,Nepoužívam,Nepoužívam,Nepoužívam,Neinštaloval/a som,Nevytvoril,Nenavštevujem,"Žiadosť o prevod držby vozidla na inú osobu, Žiadne",Nepoužívam,Neutrálne,Áno
27.4.2018 21:06:54,20,Muž,Prehľadné,Nepoužívam,Veľmi užitočná služba dobre sa s ňou pracuje,Neinštaloval/a som,Nevytvoril,Nenavštevujem,Žiadne,Často fungujú,Pozitívne,Áno
